Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
327,0.64,-9.6,0,24.2,80
328,0.57,-8.5,0,7.6,0
329,0.61,-9.1,0,-4.2,-80
330,0.67,-10,0,-6.1,-80
331,0.84,-12.6,0,-17.1,-80
332,1.06,-16,0,-22.4,-80
333,1.24,-18.6,0,-17.3,-80
334,1.63,-24.5,0,-39.5,-80
335,1.3,-19.5,0,33.5,80
336,0.85,-12.8,0,44.6,80
337,0.47,-7.1,0,38.2,80
338,0.18,-2.7,0,29.1,80
339,0.08,-1.2,0,9.9,80
340,-0.52,7.8,0,60.2,80
341,-0.46,6.9,0,-6.3,0
342,-0.22,3.2,0,-24.3,-80
343,0.19,-2.8,0,-40.4,-80
344,0.47,-7.1,0,-28.2,-80
345,0.73,-11,0,-26.3,-80
346,0.98,-14.6,0,-24.3,-80
347,1.18,-17.8,0,-20.8,-80
348,1.52,-22.9,0,-34.1,-80
349,1.33,-20,0,19.3,0
350,1.09,-16.3,0,24.6,80
351,0.69,-10.3,0,39.9,80
352,0.42,-6.2,0,27,80
353,0.28,-4.3,0,13.3,80
354,0.29,-4.3,0,-0.2,-80
355,0.38,-5.6,0,-8.9,-80
356,0.47,-7,0,-9.2,-80
357,0.51,-7.7,0,-4.5,-80
358,0.58,-8.7,0,-6.8,-80
359,0.62,-9.2,0,-3.5,-80
360,0.61,-9.1,0,0.8,-80
361,0.9,-13.6,0,-29.8,-50
362,0.93,-14,0,-2.7,-50
363,0.61,-9.1,0,32.2,80
364,0.34,-5.1,0,27.2,80
365,0.14,-2.1,0,19.5,80
366,0.04,-0.6,0,10.2,80
367,-0.16,2.5,0,20.4,80
368,-0.12,1.8,0,-4.7,-80
369,0.19,-2.9,0,-31.2,-80
370,0.53,-8,0,-33.9,-80
371,0.82,-12.3,0,-28.6,-80
372,1.32,-19.8,0,-49.9,-80
373,1.07,-16,0,25,80
374,0.78,-11.7,0,28.8,80
375,0.78,-11.7,0,-0.3,-80
376,0.64,-9.6,0,14.3,80
377,0.63,-9.5,0,0.6,-80
378,0.65,-9.7,0,-1.2,-80
379,0.62,-9.3,0,2.8,-80
380,0.39,-5.9,0,22.7,80
381,0.09,-1.3,0,30.6,80
382,-0.13,1.9,0,21.4,80
383,-0.23,3.4,0,9.7,80
384,-0.28,4.2,0,5.2,80
385,-0.26,3.9,0,-1.5,80
386,-0.24,3.6,0,-2.3,80
387,-0.63,9.4,0,38.8,50
388,-0.72,10.8,0,9.3,50
389,-0.14,2.1,0,-57.9,-80
390,0.42,-6.4,0,-56.6,-80
391,0.99,-14.8,0,-56.2,-80
392,1.49,-22.4,0,-50.7,-80
393,1.92,-28.8,0,-42.7,-80
394,2.56,-38.4,0,-63.6,-101
395,2.92,-43.8,0,-36.3,-80
396,2.75,-41.3,0,17,-80
397,2.54,-38.1,0,21.1,-80
398,2.48,-37.2,0,5.8,-80
399,2.16,-32.4,0,32,0
400,1.9,-28.6,0,25.7,-80
401,1.67,-25.1,0,22.9,-80
402,1.71,-25.6,0,-3.4,-80
403,1.61,-24.2,0,9.5,-80
404,1.34,-20.1,0,27.2,80
405,0.85,-12.8,0,49.1,80
406,0.23,-3.4,0,62.3,80
407,-0.31,4.6,0,53.4,80
408,-0.73,10.9,0,42.2,80
409,-1.04,15.6,0,31.5,80
410,-1.82,27.3,0,77.6,104
411,-1.95,29.2,0,13.1,80
412,-1.94,29.2,0,-0.5,80
413,-1.61,24.1,0,-33.8,-80
414,-1.33,20,0,-27.4,-80
415,-0.82,12.2,0,-51.7,-80
416,-0.42,6.3,0,-39.2,-80
417,-0.02,0.3,0,-40.6,-80
418,0.23,-3.5,0,-25.1,-80
419,0.58,-8.7,0,-34.6,-80
420,0.37,-5.5,0,21.1,80
421,0.06,-0.9,0,30.9,80
422,-0.33,4.9,0,38.5,80
423,-0.44,6.6,0,11.4,80
424,-0.42,6.3,0,-1.7,80
425,-0.35,5.2,0,-7.4,-80
426,-0.24,3.6,0,-11.1,-80
427,-0.04,0.6,0,-19.8,-80
428,0.21,-3.1,0,-24.9,-80
429,0.39,-5.9,0,-18.3,-80
430,0.51,-7.6,0,-11.5,-80
431,0.77,-11.5,0,-26.1,-80
432,0.54,-8.1,0,22.6,80
433,0.25,-3.8,0,29.1,80
434,-0.03,0.5,0,28.5,80
435,-0.14,2,0,10.4,80
436,-0.13,1.9,0,-0.8,80
437,-0.06,0.9,0,-7,-80
438,0.1,-1.4,0,-15.4,-80
439,0.04,-0.7,0,5.1,80
440,0.34,-5.1,0,-29.7,-80
441,0.55,-8.2,0,-20.4,-80
442,0.75,-11.3,0,-20.7,-80
443,0.84,-12.5,0,-8.3,-80
444,0.73,-10.9,0,10.6,0
445,0.55,-8.2,0,18.4,80
446,0.36,-5.4,0,18.3,80
447,0.33,-5,0,2.8,-80
448,0.34,-5,0,-0.2,-80
449,0.48,-7.2,0,-14.5,-80
450,0.89,-13.4,0,-41.3,-80
451,1.1,-16.5,0,-20.7,-80
452,0.89,-13.3,0,21.6,80
453,0.66,-9.9,0,22.5,80
454,0.45,-6.7,0,21.4,80
455,0.33,-4.9,0,11.8,80
456,0.33,-4.9,0,0.3,-80
457,0.34,-5.1,0,-1.3,-80
458,0.29,-4.4,0,4.8,0
459,0.42,-6.2,0,-12.6,-80
460,0.48,-7.3,0,-6.8,-80
461,0.54,-8.1,0,-5.8,-80
462,0.57,-8.5,0,-2.6,-80
463,1,-14.9,0,-42.8,-80
464,0.79,-11.9,0,20.4,80
465,0.44,-6.6,0,35.1,80
